Timestamp,Ax,Ay,Az,P,LPFRMSAcc,LPFPValue,Value,Detection,Type
90.76,-0.484621048,4.98863554,7.675706387,990.751709,9.852534984,3.566705993,0,0,
0.04,1.683767319,4.326007366,8.201512337,990.7744751,0.033926865,10.2721952,0,0,
0.08,1.939428806,4.685883999,7.903239727,990.8149414,0.097588036,19.72711916,0,0,
0.12,2.106664419,4.793133259,8.513972282,990.824646,0.189469702,31.57744086,0,0,
0.16,1.898684978,4.809817314,8.386137962,990.8048096,0.305442319,45.50160341,0,0,
0.2,1.599889398,4.676354885,8.22042942,990.8197632,0.441346753,61.20813859,0,0,
0.24,1.697817445,4.888468266,8.973194122,990.7712402,0.597133556,78.43285999,0,0,
0.28,1.542415977,4.988566875,8.433466911,990.8218994,0.76834579,96.9372241,0,0,
0.32,1.336826563,4.840805531,8.757767677,990.8217163,0.953206652,116.5056641,0,0,
0.36,1.202934146,4.774075031,8.502104759,990.8014526,1.148487064,136.9438023,0,0,
0.4,1.312811852,4.936139584,8.521037102,990.831604,1.352666975,158.076937,0,0,
0.44,1.625831127,4.793143749,9.008675575,990.8341675,1.565410045,179.7481005,0,0,
0.48,1.788286686,4.76692915,9.311672211,990.8088989,1.785959964,201.8165592,0,0,
0.52,1.65439415,4.769314289,8.094923973,990.8288574,2.008752334,224.1566932,0,0,
0.56,1.632827282,4.500005245,8.435795784,990.7935791,2.233298086,246.6563281,0,0,
0.6,1.396168947,4.33317709,8.272454262,990.7908936,2.457659532,269.2158896,0,0,
0.64,1.252717137,4.328412056,7.630937576,990.7807617,2.678961053,291.7471514,0,0,
0.68,0.944361925,4.50715971,7.339766026,990.8009644,2.896052035,314.1723676,0,0,
0.72,0.855877757,4.800303936,7.841608047,990.8235474,3.110690139,336.4232326,0,0,
0.76,0.727382779,4.497613907,9.0110569,990.8486938,3.325496391,358.4400282,0,0,
0.8,0.581565917,4.454716206,10.05025578,990.8334961,3.542958542,380.1706849,0,0,
0.84,0.646060467,4.793141842,9.7756567,990.7727661,3.761617392,401.5700604,0,0,
0.88,0.548041582,5.162550449,8.409778595,990.78302,3.976861866,422.5997147,0,0,
0.92,0.421343923,5.145868778,8.057063103,990.800415,4.187185082,443.2270395,0,0,
0.96,0.337664485,5.110120296,8.293778419,990.8104858,4.39304387,463.4246437,0,0,
1,0.571841955,5.012406826,8.573105812,990.8179932,4.594936121,483.1698624,0,0,
1.04,0.81079936,4.983808041,9.115192413,990.8483276,4.794299388,502.4443798,0,0,
1.08,0.949380755,5.11250639,8.892672539,990.8254395,4.9902823,521.2335148,0,0,
1.12,0.978026748,4.845579624,8.852427483,990.8154907,5.181988594,539.5260892,0,0,
1.16,1.326919436,4.945678234,8.454733849,990.7973633,5.368309245,557.3139841,0,0,
1.2,1.31971693,4.785999298,8.513911247,990.8226929,5.549096648,574.591999,0,0,
1.24,1.627981424,4.671602726,8.232211113,990.8075562,5.723439298,591.3572285,0,0,
1.28,1.458265424,4.523840427,7.550454617,990.8024902,5.889003066,607.6089879,0,0,
1.32,1.50603056,4.581039906,7.349238873,990.817627,6.045739056,623.3485932,0,0,
1.36,1.582474589,4.528608799,7.720886707,990.8452759,6.195189622,638.5790961,0,0,
1.4,1.427098036,4.566741943,8.165917397,990.8273315,6.339013121,653.3048617,0,0,
1.44,1.807059765,5.08391428,8.142242432,990.8095703,6.478438796,667.5315647,0,0,
1.48,2.000608921,5.398507595,8.40263176,990.8475952,6.614981822,681.2662168,0,0,
1.52,2.258685112,5.479539394,9.209844589,990.8273315,6.751244821,694.5165749,0,0,
1.56,2.129597664,5.162564754,9.28322506,990.8348389,6.886343055,707.2913367,0,0,
1.6,1.94076252,4.869422436,8.833453178,990.8070068,7.017903119,719.5997723,0,0,
1.64,1.91444087,4.757408619,8.615668297,990.8272095,7.144980008,731.4519243,0,0,
1.68,1.816421986,4.688294888,8.20850563,990.8242798,7.266196663,742.8582258,0,0,
1.72,1.866577148,4.788393021,8.106713295,990.8092041,7.381700065,753.829457,0,0,
1.76,1.731142998,4.995718956,7.844027042,990.7938232,7.491239077,764.3767081,0,0,
1.8,1.377437592,4.964736462,8.061808586,990.8117065,7.595502592,774.5114248,0,0,
1.84,0.983103752,4.898004532,8.305630684,990.8291626,7.695178257,784.2452039,0,0,
1.88,0.724994421,4.876554966,8.587327003,990.8468628,7.791196044,793.5897366,0,0,
1.92,0.605499208,4.912304401,8.705687523,990.8493652,7.884040558,802.5567,0,0,
1.96,0.428646505,4.924220562,8.41925621,990.8139648,7.972842109,811.1576345,0,0,
2,0.409527302,5.005251884,8.367177963,990.8139648,8.057735819,819.4041827,0,1,
2.04,0.555311322,5.14586544,8.776703835,990.8163452,8.140420997,827.307916,0,1,
2.08,0.330660582,4.940903664,8.819314003,990.8363647,8.220588133,834.8803567,0,1,
2.12,0.383238316,4.890854836,9.013424873,990.8439331,8.298772983,842.1328337,0,1,
2.16,0.476444542,4.836039066,9.029994011,990.8031616,8.374897781,849.0763352,0,1,
2.2,0.555311263,4.766924381,8.885595322,990.8337402,8.448367693,855.7219393,0,1,
2.24,0.533802211,4.619161129,8.651242256,990.8337402,8.518229662,862.0803972,0,1,
2.28,0.629398227,4.542896271,8.521046638,990.8382568,8.584130886,868.1622584,0,1,
2.32,0.801471233,4.561962605,8.771969795,990.8133545,8.647169409,873.9777345,0,1,
2.36,0.830150008,4.602478027,8.435827255,990.8031616,8.706464134,879.5368603,0,1,
2.4,0.892287493,4.752624512,8.390850067,990.8356934,8.76237796,884.8495792,0,1,
2.44,0.813420773,4.671593189,8.745930672,990.8356934,8.816054191,889.9254472,0,1,
2.48,0.703485191,4.612010956,8.738829613,990.828186,8.867407007,894.7737335,0,1,
2.52,0.713044763,4.681126118,8.689117432,990.833313,8.916483707,899.4034934,0,1,
2.56,0.638957858,4.671593189,8.857188225,990.8432617,8.963871056,903.823532,0,1,
2.6,0.497953653,4.604861259,8.712789536,990.8405762,9.008995184,908.042339,0,1,
2.6,0.497953653,4.604861259,8.712789536,990.8329468,9.008995184,912.0681226,0,1,
2.68,0.588769913,4.678742886,8.87375927,990.8380737,9.052610606,915.9088764,0,1,
2.72,0.55770123,4.700192451,8.653609276,990.822876,9.094068237,919.5722564,0,1,
2.76,0.526632428,4.76215744,8.625203133,990.8380737,9.133481277,923.0657755,0,1,
2.8,0.376406193,4.547712803,8.852265358,990.8327637,9.171279279,926.3966097,0,1,
2.84,0.483870804,4.604914188,8.866461754,990.8153076,9.207670613,929.5716416,0,1,
2.88,0.567436337,4.621598721,8.691282272,990.8377686,9.242174368,932.5976575,0,1,
2.92,0.634272695,4.383272648,9.318583488,990.8223877,9.276533153,935.4810537,0,1,
2.96,0.744127274,4.545337677,8.856970787,990.817627,9.309435755,938.2280338,0,1,
3,0.763165355,4.311778545,8.648650169,990.8048096,9.339892804,940.8445413,0,1,
3.04,0.896919012,4.009104252,8.833283424,990.8121338,9.368251812,943.3363703,0,1,
3.08,0.880108833,4.052005291,8.340898514,990.8377075,9.393117096,945.7091548,0,1,
3.12,0.915876389,4.299868107,8.224898338,990.8452759,9.414846893,947.9682367,0,1,
3.16,1.14761579,4.342769146,8.923215866,990.8224487,9.436117951,950.1186363,0,1,
3.2,1.618345499,4.595398426,9.238046646,990.8171387,9.458541619,952.1652434,0,1,
3.24,1.682791948,4.452404022,9.285383224,990.8070679,9.481867796,954.1127357,0,1,
3.28,1.536926866,4.33324194,8.882950783,990.8146362,9.504352347,955.9656662,0,1,
3.32,1.465148926,4.271278858,8.57994175,990.8371582,9.52490841,957.7284526,0,1,
3.36,1.565443873,4.230764866,8.665153503,990.7994995,9.543950752,959.4051059,0,1,
3.4,1.98359561,4.438111782,8.878193855,990.8371582,9.562857347,960.9997518,0,1,
3.44,2.048042059,4.469096184,8.783499718,990.824585,9.581373238,962.5161498,0,1,
3.48,1.832870007,4.314185619,8.963398933,990.8094482,9.599655092,963.9578946,0,1,
3.52,1.792160511,4.376152515,8.913680077,990.8041382,9.617575628,965.3284662,0,1,
3.56,1.789689779,4.450036526,8.72192955,990.8041992,9.63462057,966.6312156,0,1,
3.6,1.703572273,4.502470493,8.542015076,990.8193359,9.650295281,967.8694017,0,1,
3.64,1.581606388,4.666918278,8.11827755,990.7914429,9.663592646,969.0459818,0,1,
