Timestamp,Ax,Ay,Az,P,LPFRMSAcc,LPFPValue,Value,Type
0.0,2.2973668999999997,4.1965069999999995,9.100886000000001,1003.5525,0.021370247000000002,3.612789,0,0
0.02,2.6127806000000002,4.368104,9.555384,1003.5676,0.062678447,10.40488668,0,0
0.04,2.5505865,4.835228400000001,8.949375,1003.5600599999999,0.120749458,19.98174281,0,0
0.06,2.1585927000000003,4.7303653,8.660571000000001,1003.4968,0.192621989,31.9845071,0,0
0.08,1.7952778000000003,4.773265,9.015647,1003.5194,0.276963897,46.08767524,0,0
0.1,2.182385,5.3738527000000005,9.351786,1003.55255,0.373363571,61.99610815,0,0
0.12,4.041679,6.579793,11.245543,1003.58545,0.485551581,79.44252111,0,0
0.14,5.011925700000001,7.5331054,11.917823,1003.5779,0.614033642,98.18505896,0,0
0.16,5.327339599999999,7.9430309999999995,13.754767000000001,1003.5878,0.7601705059999999,118.0054153,0,0
0.18,6.240232,8.453053,12.78421,1003.5856,0.9209544409999999,138.70677080000002,0,0
0.2,5.8960295,8.314824,9.285478999999999,1003.4664300000001,1.088366312,160.1116233,0,0
0.22,4.146571,7.0755215,6.534785299999999,1003.4490400000001,1.254168487,182.0609656,0,0
0.24,3.8788489999999998,6.632233,3.8977171999999998,1003.4060699999999,1.414062943,204.4122469,0,0
0.26,3.2000637000000003,5.35003,3.00291,1003.4110000000001,1.564637152,227.03823459999998,0,0
0.28,-2.3015442000000004,1.6130513000000002,0.9481735000000001,1003.45154,1.698216865,249.8256452,0,0
0.3,-2.6887548,2.1373737,-1.0876248,1003.444,1.81762275,272.6736273,0,0
0.32,-6.5269904,0.383282,-1.8830098000000002,1003.4416,1.93072817,295.49286889999996,0,0
0.34,-9.433167999999998,0.08775697,-2.8251612,1003.45935,2.044185208,318.20463019999994,0,0
0.36,-9.179886999999999,0.9791044,-2.5411017000000005,1003.4870599999999,2.156978647,340.7397592,0,0
0.38,-10.394015,1.7274553,-1.7409922999999998,1003.49475,2.271074631,363.0377172,0,0
0.4,-7.137767,4.720823,-10.097107000000001,1003.5048,2.391223993,385.04587430000004,0,0
0.42,-7.414999000000001,4.4014644999999994,-0.008090649,1003.59827,2.5067020159999998,406.7190706,0,0
0.44,-8.002919,4.2489343,-1.693539,1003.5274699999999,2.618873152,428.018017,0,0
0.46,-7.840408999999999,3.1764593,-3.0239072,1003.5225,2.7272317839999998,448.9095823,0,0
0.48,-8.934987,2.4567094,-3.1043925,1003.482,2.83347172,469.36582999999996,0,0
0.5,-9.642403,1.9895866999999998,-1.8592442,1003.4568,2.937970051,489.36369800000006,0,0
0.52,-9.078389,2.0038865,-2.3705604,1003.4643599999999,3.039669644,508.8845766,0,0
0.54,-9.522915,2.2946465,-2.6025467,1003.4872,3.139654445,527.9137943,0,0
0.56,-9.6328535,2.3852115,-2.5741405,1003.5327,3.238007025,546.4402392000001,0,0
0.58,-8.753374,3.357589,-3.0333781,1003.4744,3.33373517,564.4555288,0,0
0.6,-8.519167,3.1001947,-1.9823406000000003,1003.49994,3.4256070839999997,581.9543986000001,0,0
0.62,-8.619547,3.2574914,-3.3032398,1003.5175,3.514798414,598.9340272000001,0,0
0.64,-8.036414,3.371889,-2.706705,1003.54285,3.5999221739999996,615.3938187000001,0,0
0.66,-8.839425,2.9857981,-3.0759892000000004,1003.525,3.6825967310000003,631.3349627,0,0
0.68,-9.202694000000001,2.9285994,-3.0381139999999998,1003.54034,3.763433067,646.760497,0,0
0.7,-8.772515,3.047763,-2.9528953999999996,1003.5657,3.841566343,661.6749977999999,0,0
0.72,-8.829877999999999,3.6674160000000002,-3.0049741,1003.5835,3.9176062330000003,676.0843212999999,0,0
0.74,-9.011514,3.3909553999999997,-2.9008176,1003.5505400000001,3.9915924489999997,689.9952779,0,0
0.76,-7.6588330000000004,3.5101194,-2.4321117,1003.52527,4.06082278,703.4157072,0,0
0.78,-8.968502,3.3718896000000003,-2.7540517,1003.5506,4.128096698,716.3544841,0,0
0.8,-8.84901,3.1240287,-2.6972389999999997,1003.5479,4.192973296,728.8210836000001,0,0
0.82,-8.696061,3.2908585,-2.7067082,1003.57074,4.255331117,740.8256698,0,0
0.84,-8.9159355,3.1859944,-3.0475857000000004,1003.5327,4.315784643,752.3786673999999,0,0
0.86,-8.839462,3.3432907999999997,-2.97657,1003.5302,4.374258489,763.4910416,0,0
0.88,-8.739091,3.1383287999999996,-2.6877717999999997,1003.52515,4.430270491,774.1740583,0,0
0.9,-8.472999,3.5053919999999996,-2.8299482000000005,1003.5253,4.483759161,784.4392363,0,0
0.92,-8.329671000000001,3.309965,-2.7068596,1003.5102,4.534340915,794.2982030000001,0,0
0.94,-8.764698,3.1812696,-2.967258,1003.5050699999999,4.583048938999999,803.7627307,0,0
0.96,-8.6739435,3.2861354,-2.938857,1003.5455300000001,4.629811794,812.8448055,0,0
0.98,-8.56407,3.2575376,-3.151911,1003.52545,4.674603697,821.5561771,0,0
1.0,-9.094699,3.1145424999999998,-3.2229335,1003.51276,4.7184269610000005,829.9085887,0,0
1.02,-8.678918,2.9858472000000003,-3.057235,1003.53046,4.760269816,837.9138184,0,0
1.04,-8.559488,3.1526783,-2.8773339,1003.5252,4.799985024,845.5834402999999,0,0
1.06,-8.66949,3.2766106,-2.9199490000000003,1003.5026,4.837994081000001,852.9288272,0,0
1.08,-8.80817,3.5054065999999997,-3.0998628,1003.5278,4.874892697,859.9613673,0,0
1.1,-8.492768,3.4911084000000003,-3.25137,1003.5404699999999,4.91019291,866.6922046,0,0
1.12,-8.674468,3.333814,-3.1093438,1003.5177,4.944075207,873.1321442,0,0
1.14,-8.559814,3.2575505000000002,-3.0904117,1003.5179400000001,4.976305459,879.2918635999999,0,0
1.16,-8.526422,3.1336217,-2.9815264,1003.5050699999999,5.0067411669999995,885.1817593000001,0,0
1.18,-8.741579,3.2194211,-3.0762205000000002,1003.5077,5.036000324,890.8120445000001,0,0
1.2,-8.63649,3.3957856,-3.2040553,1003.5278300000001,5.0641297210000005,896.1927412999999,0,0
