Timestamp,Ax,Ay,Az,P,LPFRMSAcc,LPFPValue,Value,Type
0.0,5.3322053,-1.6962006,8.421016999999999,999.54724,0.02101436462262551,3.598370064,0,0
0.02,5.8810887,-1.3625222,7.142655,999.55505,0.05894491554394739,10.363333900319999,0,0
0.04,6.2969300000000015,-1.4864527,8.454085000000001,999.5551,0.11437496639978385,19.901946304051197,0,0
0.06,6.1630910000000005,-1.2719575,7.0905759999999995,999.5815,0.18264583443012905,31.8571106172935,0,0
0.08,5.8141620000000005,-1.7343134999999998,7.6445007,999.5617699999999,0.2625974942548917,45.904430578252146,0,0
0.1,6.2395606,-1.5817835,7.4693274,999.6007699999999,0.35279162496917005,61.749949317673476,0,0
0.12,6.6076016000000015,-1.5341178999999998,7.0053554,999.5986,0.4514849194170758,79.12730481828257,0,0
0.14,6.215654,-2.1728362999999997,5.8264885,999.57104,0.5553393030016895,97.79553358527492,0,0
0.16,6.5645776,-2.3301325,5.514017,999.581,0.6635711105558856,117.53720820288237,0,0
0.18,9.026172,-2.3015332,6.754430999999999,999.5907,0.7807309350639344,138.15634446546994,0,0
0.2,8.275738,-2.0727384,6.3614745,999.5949,0.9035617333876886,159.4765920670166,0,0
0.22,8.1419,-1.8296439999999998,4.382494,999.5882,1.0284332165010024,181.339564636302,0,0
0.24,8.6294365,-2.549394,5.087919,999.5687,1.1565523438855925,203.6033120858319,0,0
0.26,8.672452999999999,-2.2824667,5.168404,999.60614,1.2871079914186063,226.14116951272752,0,0
0.28,9.064391,-1.9297414000000002,3.9137864,999.5937,1.4187428151610206,248.8400494448866,0,0
0.30000000000000004,9.236461,-2.029839,4.3162107,999.61084,1.5515540836895827,271.5995545989408,0,0
0.32,8.715457,-2.2014348999999998,3.3740635,999.63605,1.6832769780204797,294.33078473650687,0,0
0.34,8.897088,-2.2681668,3.5160953999999998,999.5852699999999,1.8140426899298816,316.95501583300893,0,0
0.36000000000000004,8.925765,-1.9917063000000002,3.2983127,999.5927,1.9432632771165492,339.40328209287924,0,0
0.38,9.403739,-2.1442357999999997,4.1931148,999.6207,2.0723063083443667,361.6153528645663,0,0
0.4,9.255562,-1.572249,1.873256,999.5833,2.198765985819781,383.5386232081165,0,0
0.42,9.499328,-2.3015323,3.539766,999.6080300000001,2.3241966210049405,405.1278747481282,0,0
0.44,9.523222,-2.2776992000000003,2.5786815,999.60425,2.44770584012414,426.3442523597894,0,0
0.46,9.886484,-1.9774061,2.8296046,999.5957599999999,2.569792148878413,447.1547490449579,0,0
0.48,9.723968,-1.8916080000000002,1.9584738999999998,999.61334,2.6894046327471326,467.53175484341097,0,0
0.5,10.268862,-1.5531823999999999,2.0720992,999.6115,2.807423994400385,487.45236424948786,0,0
0.52,9.561957000000001,-1.7962892,1.5418923999999998,999.6152,2.9220733467719677,506.89800092939913,0,0
0.54,9.710148,-1.5245958999999998,1.5797691,999.573,3.033549652662562,525.8537954964229,0,0
0.56,9.6289,-1.6294603,1.9253813000000002,999.6005,3.1418179032549927,544.3086237120581,0,0
0.5800000000000001,9.97785,-1.1718714,1.2104887,999.57855,3.247205326199812,562.2542816580298,0,0
0.6,9.662391,-1.5817956,1.2862396999999999,999.5882,3.349160796438834,579.6854671251216,0,0
0.62,9.170088,-1.9774201,0.9406296999999999,999.5908,3.4467872141890536,596.5993218021932,0,0
0.64,9.394747,-2.3730447,1.8638394,999.5902,3.5411505863279595,612.9951709563661,0,0
0.66,10.078275999999999,-2.1347169999999998,2.2567964,999.5699,3.633701731635459,628.8742122935503,0,0
0.68,10.083071,-2.0679858,1.7880919999999998,999.5974,3.724112512913705,644.2395366948294,0,0
0.7000000000000001,9.552538,-2.168084,2.6876311,999.58276,3.811704654302653,659.0955729396983,0,0
0.72,9.399592,-2.2157497000000004,2.5455997000000004,999.6054,3.896136709154507,673.4482019430814,0,0
0.74,9.079362,-1.948823,1.9159254000000001,999.5981,3.9764222183706734,687.3043245634757,0,0
0.76,9.007682,-1.7629276999999999,1.81177,999.5956,4.0524927913089375,700.6718431024274,0,0
0.78,8.998147,-2.1394862999999997,2.1242433,999.5759,4.124843971564264,713.5594370882765,0,0
0.8,9.442685,-1.7009634999999999,2.3325584,999.59827,4.1944470259778965,725.9766549326549,0,0
0.8200000000000001,9.127243,-1.0193466,2.0153556,999.5858,4.260391036239635,737.9335015421902,0,0
0.84,8.481986000000001,-1.0860788000000001,1.7407615,999.58014,4.321459695948227,749.4404991048237,0,0
0.86,9.380606,-1.5532017,1.5324492,999.5882,4.379880414264065,760.5086138743892,0,0
0.88,9.380606,-1.5532017,1.5324492,999.5607,4.435751096979328,771.1489875948296,0,0
0.9,11.292551,-2.3158514,1.5182483,999.5899699999999,4.493316246437088,781.3732093508693,0,0
0.92,12.678702000000001,-3.6171214999999997,2.559818,999.5957599999999,4.555920215899236,791.1929328768429,0,0
0.94,11.636723,-2.4302492,2.9669785,999.6011,4.620301998084588,800.6199099860364,0,0
0.96,8.601572,-0.21380097,1.5703313,999.60345,4.678735607119276,809.6659277037702,0,0
0.98,7.8559384,-0.7285896,0.8459689,999.6154,4.730016428189134,818.3428070594259,0,0
1.0,7.8416076,-1.0622486999999998,1.0164082,999.6080300000001,4.774882557019106,826.6622524606696,0,0
1.02,9.064784,-2.272943,1.5655576,999.6080300000001,4.817031416775672,834.6359192163501,0,0
1.04,10.446143,-2.067981,2.3988123,999.5957599999999,4.859620715686794,842.2753065884905,0,0
1.06,10.470041,-1.7057227,2.6071262,999.60315,4.902462577580762,849.5918495067951,0,0
1.08,9.805645,-0.9526065999999999,1.8685588,999.5950300000001,4.9435104336899975,856.5967582791848,0,0
1.1,9.805645,-0.9526065999999999,1.8685588,999.59125,4.982825334005848,863.301075840663,0,0
1.12,9.083891,-1.6675900000000001,1.3903835,999.60315,5.0190381332876814,869.7156983049588,0,0
1.14,9.332439,-1.8487192,1.4093211,999.61285,5.052957046426823,875.8512884605127,0,0
1.16,9.303758,-2.0584476,1.6081659,999.5950300000001,5.0848223693990215,881.7181733915024,0,0
1.18,9.819974,-2.0965803,1.9585116000000002,999.57526,5.115936921044818,887.3264384283154,0,0
