Timestamp,Ax,Ay,Az,P,LPFRMSAcc,LPFPValue,Value,Type
0.0,-7.9504075,5.7106857,0.3579792,997.46765,0.020359271545210385,3.59088354,0,0
0.02,-7.845288,5.8965819999999995,-0.27643436,997.4907,0.058681920665171625,10.341827575199998,0,0
0.04,-8.203797,5.7011538,-0.49895352,997.5291,0.11312282027605505,19.860835905432,0,0
0.06,-7.9313602,5.5486245,-0.49895465,997.5833,0.18096483709606506,31.791632536765434,0,0
0.08,-7.405618,5.7535870000000005,-0.1107368,997.5426,0.2597517419118525,45.8103879230793,0,0
0.1,-7.907522,5.6391897,0.32482624,997.56067,0.3486307314555143,61.62366119790315,0,0
0.12,-8.022248,5.6820892999999995,0.24434023,997.56085,0.4463481661214387,78.96564334322505,0,0
0.14,-7.6494490000000015,5.7678885000000015,0.14491552,997.5555400000001,0.5509990453888628,97.59594239479586,0,0
0.16,-7.7641883,5.8441540000000005,-0.3806055999999999,997.5534,0.6616986389285203,117.29752148414256,0,0
0.18,-7.9554047999999975,5.7440567000000025,-0.001855396,997.55896,0.7775253181756174,137.87477794614637,0,0
0.2,-7.855053,5.7964892,-0.030264061000000002,997.5643,0.8973611934175112,159.15172403536684,0,0
0.22,-7.6017466,5.7488246,-0.12495434,997.5309,1.0198287038743914,180.9701986332747,0,0
0.24,-8.161019,5.253103299999999,-0.09655124,997.58276,1.144543177595915,203.18880800890628,0,0
0.26,-8.304425,5.11964,0.28220004,997.6056,1.2709059082531091,225.68107170438236,0,0
0.28,-7.6726350000000005,5.2673825999999995,-0.07753627,997.5372,1.3973290378314849,248.3339179675692,0,0
0.3,-7.6726350000000005,5.2673825999999995,-0.07753627,997.5350300000001,1.5233504126301338,271.04709692903776,0,0
0.32,-7.9880905,5.2530823,-0.06806639,997.5453,1.6490906092763291,293.73185539044687,0,0
0.34,-8.279647,5.720205,0.11657642,997.59406,1.7751758405188882,316.31001190354243,0,0
0.36,-7.9450493,6.420888400000001,0.5805491,997.5889,1.901460405295679,338.71267499566085,0,0
0.38,-7.844662,6.3636894,0.8551457,997.57355,2.027270344654828,360.8795672538723,0,0
0.4,-7.438368,5.7631025000000005,0.8882876000000001,997.5762300000001,2.150782503510115,382.758341239114,0,0
0.42,-7.8350797000000005,4.7287593,-0.25743735,997.5641,2.271203554482449,404.3037266640129,0,0
0.44,-8.595057,3.7516157999999997,-0.21482669,997.5948,2.3889284865963067,425.4770770894628,0,0
0.46,-9.23076,3.5943186000000003,-0.25270087,997.53394,2.5049457350782167,446.2452542318684,0,0
0.48,-9.197284,4.1091065,-0.39946586,997.5905,2.6193945404125847,466.58085843966325,0,0
0.5,-9.187713,4.8908214999999995,-0.0869941,997.56506,2.7327258347730283,486.46094144328794,0,0
0.52,-7.715522,5.8345995,0.050304715,997.58545,2.843133304935596,505.867031016095,0,0
0.54,-7.4908543000000005,5.4485083,0.50480914,997.5704,2.9497349672037805,524.7843838909694,0,0
0.56,-8.02618,4.7478237000000005,0.46220052,997.58826,3.0527152343610635,543.2018508452006,0,0
0.58,-8.47069,4.1996694,0.18760608,997.58374,3.15237374752464,561.1112994469171,0,0
0.6,-8.422887,4.209203,-0.0017695760000000001,997.5504,3.2486544031199025,578.5072689933844,0,0
0.62,-8.470678999999999,4.3092995,-0.30477095,997.5938,3.3417962935871763,595.3870591962668,0,0
0.64,-8.212552,4.57146,-0.1816749,997.58655,3.4316054428607488,611.7499599864274,0,0
0.66,-8.269905,4.5857589999999995,-0.07278304,997.5993699999999,3.5182620398129503,627.597277000662,0,0
0.68,-8.236435,4.4284625,-0.03964114,997.6073,3.6016029222872628,642.9320023972373,0,0
0.7,-8.551885,4.361731,-0.058577212999999996,997.5588,3.68223069103885,657.7584222290211,0,0
0.72,-8.475396,4.747822,0.26809776,997.57715,3.76041653618256,672.0823942123609,0,0
0.74,-8.666582,4.857451999999999,0.27283270000000004,997.6130400000001,3.836621371113256,685.9109661816752,0,0
0.76,-8.604433,5.114846,0.3391154000000001,997.58484,3.910961229809144,699.2519183195077,0,0
0.78,-8.330568,5.2625747,0.6043717,997.60345,3.983087239102107,712.1140491425459,0,0
0.8,-8.120191,5.3245378,0.7038003,997.5906,4.052713905688273,724.5067435208696,0,0
0.82,-8.225278999999999,5.1195745000000015,0.5523056,997.6009,4.119815930813422,736.4400672368811,0,0
0.84,-8.301687,4.914611,0.012589593,997.5959,4.184327605354864,747.924513070296,0,0
0.86,-8.210837,4.862178,0.026795912999999998,997.5933,4.246100258764709,758.9709770416484,0,0
0.88,-8.248975999999999,4.4188857000000015,0.27772859999999994,997.5963,4.304855415189619,769.5906837693857,0,0
0.9,-8.483151,4.299721,0.36295098,997.59406,4.361055785539357,779.7950687884443,0,0
0.92,-8.798552,4.4045835,0.6091460999999999,997.6273,4.415504708247314,789.5958594236461,0,0
0.94,-8.65509,4.719175,0.8364037,997.6093,4.468283152547133,799.0046864149851,0,0
0.96,-8.00975,5.009933,0.29668775,997.592,4.5184783362581245,808.0332402734388,0,0
0.98,-8.057514999999999,5.129096499999998,0.34403485,997.5921599999999,4.566429575146116,816.6932825737837,0,0
1.0,-8.21518,5.34359,0.718059,997.5845,4.612783996555456,824.9965043331027,0,0
1.02,-8.143417,5.4961176,0.71806514,997.5819,4.657611234324161,832.9545385040383,0,0
1.04,-8.372746000000001,5.6057463,1.0968268,997.5921599999999,4.701519620823314,840.5789529348621,0,0
1.06,-8.439596,5.51518,1.0258167999999999,997.5771,4.744454553233829,847.8810788553723,0,0
