Timestamp,Ax,Ay,Az,P,LPFRMSAcc,LPFPValue,Value,Type
0.0,-0.5796709,4.1062055,6.848308599999998,999.3918,0.016640189236025008,3.59781048,1,1
0.02,-0.49840638,3.9870412,7.9940357,999.41394,0.049879627852298464,10.361773886399998,1,1
0.04,0.11820007,4.02994,8.585837,999.4092,0.09878526249507172,19.898982686304,1,1
0.06,0.08952518,4.220602,8.571634,999.3943,0.16150195520085064,31.852243524228466,1,1
0.08,-0.04430149,4.435096700000001,7.6294885,999.3966,0.2346794965508637,45.89730448393132,1,1
0.1,0.1373389,4.6305256,7.7999277,999.41693,0.31734993106629955,61.74019099978259,1,1
0.12,0.28565046,4.8974495000000005,8.24024,999.4017,0.409187514778059,79.11454695758955,1,1
0.14,0.1757213,5.502802,8.00352,999.40393,0.5090529665587125,97.77956966086047,1,1
0.16,-0.49821198,5.0547447,9.518531,999.4085,0.6178858667790564,117.51784787069157,1,1
0.18,-0.9666137,5.6362643,8.562183000000001,999.40393,0.7332265851719018,138.1333803925638,1,1
0.2,-0.9666137,5.6362643,8.562183000000001,999.40607,0.853902385115755,159.4498466114769,1,1
0.22,-0.65112776,4.821183,11.118764,999.4138,0.9826827194935821,181.3089463947072,1,1
0.24,-0.41691098,4.468457,11.535393,999.39404,1.1186618271427384,203.56875330014847,1,1
0.26,0.9501256,4.678186,9.286551,999.3862,1.256488359762529,226.1024614899159,1,1
0.28,0.83542293,4.501823,8.34914,999.40356,1.393540067414598,248.7971300010307,1,1
0.3,0.55820704,4.0347,7.449604499999999,999.4014,1.5272691910477194,271.552314469448,1,1
0.32,0.57733893,4.482756,7.36912,999.37836,1.6579019290369756,294.27896922965147,1,1
0.34,-0.153952,3.748705600000001,9.499603,999.4057,1.7885892733642599,316.8986976065406,1,1
0.36,-0.7992128000000001,3.4865448,9.688982,999.3759,1.9190923889014324,339.34240752897625,1,1
0.38,-0.72750944,3.8583362,8.216581,999.39655,2.0464237013716025,361.5498645293361,1,1
0.4,-0.4932801,4.883145,7.3927975,999.3813,2.170010084794304,383.46856670254834,1,1
0.42,-0.5076130999999999,4.7687473,7.369126,999.40356,2.289673204751693,405.05329791866967,1,1
0.44,-0.4120044,4.36359,8.931481,999.39575,2.407843261309988,426.26519924872713,1,1
0.46,-0.42155766,4.3302239999999985,9.049843,999.40814,2.5244605897711594,447.07134985067046,1,1
0.48,0.59177977,5.1357718,8.173979,999.4163,2.638517693615112,467.44410634308525,1,1
0.5,-0.28290534,4.945109,9.187142,999.40607,2.7514934558671027,487.36053704894783,1,1
0.52,-0.63659817,5.3979316,9.688991,999.40356,2.8645039828192944,506.8020501032717,1,1
0.54,-0.71306866,5.7172904,9.376521,999.4057,2.9769218049823305,525.7539441777006,1,1
