Timestamp,Ax,Ay,Az,P,LPFRMSAcc,LPFPValue,Value,Type
0.0,1.459338,5.118032,8.251468,1002.5107,0.020408184099012367,3.60903852,0,0
0.02,-1.8006369,3.8932655,6.4609747,1002.5183,0.054486384072397316,10.394058297599996,0,0
0.04,-0.9833082,4.088694,8.558314,1002.6427,0.10422125392433984,19.961396883216,0,0
0.06,-1.3083527,2.4251666000000003,9.912352,1002.6198,0.16917549972229412,31.95266750868671,0,0
0.08,-1.0885007,1.7197168,9.92182,1002.564,0.2470115528525641,46.04235503032136,0,0
0.1,-0.28073418,2.0057106,10.3005705,1002.58417,0.336717479184356,61.93555345832858,0,0
0.12,0.0633927,2.8684578,8.577246,1002.60944,0.433567890482816,79.36520958086577,0,0
0.14,-0.64881706,1.8102828,8.0896,1002.6323,0.5348665337688501,98.08981525624851,0,0
0.16,-0.62971574,0.542379,7.4315157,1002.68054,0.6379909011748599,117.89140344009421,0,0
0.18,0.19717132,0.7664076999999999,9.330009,1002.7106,0.7462765156731586,138.57343586695592,0,0
0.2,2.6252937000000003,0.65201086,9.95495,1002.749,0.8607123372713791,159.95911175020987,0,0
0.22,1.478123,-0.530095,11.943398,1002.7411,0.9837667928484488,181.88951011835232,0,0
0.24,1.3060299,-1.664535,9.358412,1002.6903,1.108898141951647,204.2220929600169,0,0
0.26,2.5583196,-0.38233078,9.467301,1002.6954,1.2358708589959422,226.8296670642557,0,0
0.28,2.2428334,-0.46336168,8.884967999999997,1002.71826,1.3626854931305343,249.59891847732968,0,0
0.30000000000000004,3.0267045,-1.7741643,9.618799,1002.70544,1.491113864334214,272.4290125034036,0,0
0.32,3.9444082,-0.9543162,9.765564,1002.7334,1.6212053489272775,295.23077937983015,0,0
0.34,4.4940653,-1.3928388,8.189005,1002.75104,1.74994763300529,317.92549353007325,0,0
0.36000000000000004,5.674658,-1.0210469000000002,9.661403,1002.72833,1.880789451645956,340.4438331645198,0,0
0.38,4.938549,-2.660742,9.595119,1002.756,2.0127317766939563,362.7253618661245,0,0
0.4,5.101043700000001,-2.6226091,9.609321,1002.73083,2.1453301718911715,384.7173403121444,0,0
0.42,4.72342,-1.8408933,9.178489,1002.74097,2.2765644825329545,406.3743375339238,0,0
0.44,4.890696,-2.5320437,9.3299885,1002.77106,2.406845848242282,427.657488479966,0,0
0.46,4.9002366,-1.9886558,8.454122,1002.72284,2.5340240707861863,448.5335159213608,0,0
0.48,5.6841040000000005,-2.088753,9.538298,1002.7481,2.6607592886846887,468.9747462712606,0,0
0.5,5.3344865,-3.0754132000000003,8.401978,1002.72296,2.7848145488373457,488.95811097785537,0,0
0.52,4.999855,-3.2517745,8.965367,1002.75085,2.906785366949124,508.46506589308234,0,0
0.54,4.684339,-3.4662685,9.135802,1002.781,3.0266167523905287,527.4809486189617,0,0
0.56,4.349707,-3.042044,8.71917,1002.74316,3.1428203285706915,545.9943265565205,0,0
0.5800000000000001,4.096332,-2.393791,8.908542,1002.7479,3.2551619369379217,563.9970601665441,0,0
0.6,3.785602,-2.813247,9.386713,1002.7734,3.3645426807780563,581.4838704077612,0,0
0.62,3.1116045,-3.5234628,9.017425,1002.75037,3.4702152534819874,598.4517753354328,0,0
0.64,4.9565654000000015,-3.2184021,9.718113,1002.7707,3.5747351329072847,614.9001642583156,0,0
0.66,5.749964,-3.8666523,10.073189,1002.7834,3.6796317231661377,630.830340359245,0,0
0.68,7.0309089999999985,-4.190778,9.022147,1002.7936,3.784391002579592,646.2453116967331,0,0
0.7000000000000001,3.2882774,-3.580657,8.245700999999999,1002.7629,3.8832277695198303,661.1494436884293,0,0
0.72,2.007247,-3.3280287000000004,7.942695,1002.7504,3.974959274020457,675.5484981590138,0,0
0.74,3.4315798,-2.3699496,8.988995,1002.74005,4.062299492859084,689.4493922758495,0,0
0.76,3.1782076,-2.2936835,8.4824095,1002.7502,4.144270496377511,702.8601052252926,0,0
0.78,3.9907258,-2.6845398,8.18887,1002.7604,4.221519541922279,715.7894522486095,0,0
0.8,6.371025,-1.8456249,9.121545,1002.76276,4.298020726119267,728.2469271863173,0,0
0.8200000000000001,5.582314,-1.7073935000000002,9.064729,1002.70184,4.372553802338326,740.2423897274052,0,0
0.84,4.827056400000001,-1.6883261000000005,8.444516,1002.70184,4.443189063088062,751.7864344496918,0,0
0.86,5.543982,-1.5214956,6.972112700000001,1002.68896,4.508389222894622,762.8900014582854,0,0
0.88,5.878525700000001,-1.1783024,8.221991000000001,1002.72705,4.5709198545012235,773.5645266418288,0,0
0.9,6.217846,-1.797954,6.905823,1002.71924,4.629389068020946,783.8214940620971,0,0
0.92,6.9777894,-1.5405586000000002,6.5033946,1002.656,4.684469051511051,793.6723546960228,0,0
0.94,6.1699567,-1.826551,6.811126700000001,1002.72186,4.735748727017786,803.1291533712538,0,0
0.96,6.9777007,-1.9886129,7.147265400000001,1002.73975,4.785179068286419,812.2037788285512,0,0
0.98,6.098174,-2.684529,7.6396394,1002.68115,4.8326984057073,820.9078364188365,0,0
1.0,9.267428,-0.9638081,3.7053716,1002.6888,4.8781298375235975,829.2531531745047,0,0
1.02,9.401226,-2.0124495,8.141506,1002.775,4.926896854817565,837.2517537083853,0,0
1.04,7.8620972999999985,-1.407096,4.8747635,1002.79785,4.971698984384587,844.9152830867714,0,0
1.06,6.7053509999999985,-0.9209065,-0.84913516,1002.8512,5.007565941820984,852.2553469464012,0,0
1.08,7.747314,-1.8313179,2.6590557,1002.8383,5.038675608675946,859.2831260037633,0,0
1.1,7.560867,-2.7703288,1.3570912,1002.6734,5.0649975359196535,866.0090765652346,0,0
1.12,9.845579,-3.394747,1.8636693,1002.6507,5.092011382421496,872.444036325716,0,0
1.14,9.764288,-3.785604,0.9546605,1002.6555,5.119406398857454,878.5987280393048,0,0
1.16,8.617104,-5.720825,1.2955346,1002.66077,5.146848744588564,884.4836369884898,0,0
1.18,8.425877,-5.177437,-1.6350651000000005,1002.71387,5.17340202883196,890.1091713748317,0,0
1.2,7.336046700000002,-6.0783153,-0.35677883,1002.696,5.1980556163556315,895.4852061416537,0,0
1.22,10.629297,-4.038228,-1.6019304,1002.6757,5.224993143326793,900.6213562395078,0,0
1.24,8.339739999999999,-6.569269,-1.7202933999999996,1002.70605,5.252338622528091,905.5271633635092,0,0
1.26,3.6363807,-6.321407,-0.5982425,1002.7849,5.272801173471548,910.2120623901686,0,0
1.28,4.0330677,-7.207986,-0.87284124,1002.79504,5.289162609345442,914.6849378895199,0,0
1.3,3.1965702,-7.989701299999999,-0.94859475,1002.74426,5.302572974203122,918.9541842403447,0,0
1.32,4.4631815,-8.013533,-1.2468656,1002.848,5.314573347304185,923.0285080526683,0,0
1.34,2.7376406,-9.047874,-0.9154602,1002.92456,5.3257839680112085,926.9162063602477,0,0
1.36,2.1592498,-9.4005995,-1.4599198999999998,1002.86615,5.336792766587977,930.6247963819278,0,0
1.38,2.4555655,-9.805757,-1.5167357,1002.81,5.348553092408802,934.1615732581096,0,0
1.4,2.3647132,-10.477839,-1.0811739,1002.8659,5.362128048538424,937.5340048821744,0,0
1.42,2.8904593,-9.238533,-0.5793298000000001,1002.8302,5.374975025861026,940.7489517676224,0,0
1.44,2.4172246,-15.13953,-2.397344,1002.7465,5.399229410229016,943.8128700092407,0,0
1.46,2.130402,-7.7370667,1.9109608,1002.6651,5.418369412360705,946.7320161955015,0,0
1.48,1.7527651999999998,-9.896317,-2.0517387,1002.73364,5.437095465312742,949.5129796113775,0,0
1.5,1.3027173,-10.139392,-1.663586,1002.7947,5.455595324969467,952.162053079045,0,0
1.52,0.63826627,-7.7990108,-0.40423965,1002.7336,5.468587478867454,954.6848319639912,0,0
1.54,0.9536671999999998,-9.481605,0.31064942,1002.6928,5.4801975311146105,957.0867880716593,0,0
1.56,-0.05492963,-7.660778,-0.33796936,1002.83246,5.486665986682988,959.3738409073368,0,0
1.58,-0.23184839,-8.452024,-0.54628915,1002.637,5.490239968688462,961.550428165675,0,0
1.6,-0.08851642,-7.446279,-0.006572753000000001,1002.59644,5.489110975061563,963.6214263097464,0,0
1.62,1.9428419,-7.408145399999999,-1.7204325,1002.72076,5.484667541119047,965.5921178711328,0,0
1.64,2.2104526,-15.921214,0.25854322,1002.6625,5.494409872792912,967.4668743104373,0,0
1.66,-2.2348309,-10.725666,-0.52737397,1002.6395,5.506036348089262,969.2500305526896,0,0
1.68,0.8528641,-10.353873,-0.3001279000000001,1002.66504,5.518089784717066,970.945921442354,0,0
1.7,-0.13183771,-10.067879,-0.7451675999999999,1002.6878,5.529859799297508,972.5586813952688,0,0
1.72,0.0019385219,-9.681786,0.49524108,1002.7029,5.5405018127136465,974.0922352766412,0,0
1.74,-1.5850186000000002,-9.543554,-1.3937921999999998,1002.7563,5.550274516309663,975.5504741192262,0,0
1.76,-1.2218195,-9.653184,0.4289477,1002.66455,5.559172173271637,976.9365846337053,0,0
1.78,-0.3519573,-9.7199135,1.2290564,1002.67456,5.567397586599507,978.2540085956172,0,0
1.8,-0.35200000000000004,-10.763788,0.6372519,1002.66956,5.577046155622913,979.5059803934188,0,0
1.82,-1.6474046999999998,-9.176522,0.43839976,1002.69257,5.584893632878621,980.6956943965396,0,0
1.84,-2.0441866,-10.30143,1.1674927,1002.6899,5.593685115155097,981.8261048298697,0,0
1.86,1.5501637,-10.940146,-0.9109166,1002.7659,5.60435971196738,982.9003187513727,0,0
1.88,-1.8053168,-9.901035,-0.23863648,1002.7001,5.614540176295563,983.9207733849076,0,0
1.9,0.33596927,-10.23946,1.0065058,1002.7454,5.624719576347741,984.8902157549136,0,0
1.92,-0.29502314,-9.519709,0.542529,1002.7124,5.633293037053084,985.8109748963333,0,0
1.94,-1.1315393,-9.948696,-0.11082356,1002.6973,5.641401260544051,986.6853484440646,0,0
1.96,-0.34772527,-9.147913,0.7176905,1002.7022,5.647342336313011,987.5156055764417,0,0
1.98,-0.71104866,-9.872429,0.083274946,1002.7228,5.652834777472465,988.3039666785347,0,0
2.0,-0.5568259,-9.910593,0.21122006,1002.71,5.657973631294852,989.0524242683014,0,0
2.02,-0.6141962,-10.096487,0.09759316,1002.71,5.663170543241132,989.7629286672534,0,0
2.04,-0.3991133,-10.177519,-0.5983649999999999,1002.75323,5.668581455876361,990.4374954389654,0,0
2.06,-0.43258142,-9.42917,0.45267192,1002.68726,5.672596967630218,991.0776417908696,0,0
2.08,-0.06932583,-10.206119,-0.5273507,1002.70245,5.676965531761386,991.6851244169652,0,0
2.1,-0.031098202,-10.053587,0.08338647,1002.6974,5.681285326001055,992.261540257482,0,0
2.12,-0.23663989,-9.915357,-0.05391219,1002.68976,5.685264524452591,992.8084028852361,0,0
2.14,-0.09325467,-9.457768,-0.42793095,1002.72754,5.687992259820759,993.3273195967322,0,0
2.16,-0.06458723,-9.972554,-1.4410948,1002.72,5.690869007591408,993.8196480524623,0,0
2.18,-0.25578892,-9.881991,1.1060143,1002.66943,5.6935981863822045,994.2865286909564,0,0
2.2,-0.5378068,-9.63413,0.16386679999999998,1002.70496,5.6955709658494555,994.7293707758424,0,0
2.22,-0.68599147,-9.820025,-0.9913289,1002.75073,5.697373823037782,995.1495429352543,0,0
2.24,-0.68122125,-9.886757,-0.053917672,1002.73303,5.699054546683523,995.5481076087441,0,0
2.26,-1.7136691000000002,-9.605529,-0.5368278000000001,1002.7554,5.700333657207353,995.926225606848,0,0
2.28,-1.8953117,-10.153683,-0.16281083,1002.7301,5.702413893403798,996.2848246177882,0,0
2.3,-0.88200283,-10.334812,0.5094738,1002.7021,5.7053078777470025,996.6247848952307,0,0
2.32,0.42287284,-9.538797,0.3200966,1002.68933,5.707182532741617,996.9470061587564,0,0
